seat,year,party,name,votes,votes_pc,winner
Dhaka-4,1991,Independent,Gazi Md. Delwar Hossain,59,0.05,no
Dhaka-10,1991,Bangladesh Inquilab Party,Ruhul Aamin Chowdhury,59,0.08,no
Dhaka-10,1996,Independent,Qaiduzzaman Azad,59,0.04,no
Munshiganj-1,2001,Independent,Bulbul Ahmed,59,0.04,no
Munshiganj-2,2001,Independent,Md. Rafiqul Islam Dhali,59,0.04,no
Dhaka-7,2001,Independent,Md. Aslam,59,0.03,no
Natore-4,2008,PDP,A. M. Amrul Huq,59,0.02,no
Jamalpur-3,1991,Bangladesh Muslim League,Azizul Haq Sarkar,60,0.05,no
Dhaka-4,1991,Jatiya Janata Party (Asad),Makbul Ahmed,60,0.05,no
Noakhali-6,1996,Independent,Lutful Hasan,60,0.07,no
Chittagong-11,1996,Bangladesh Muslim League,A. K. M. Ekramul Haque Kaderi,60,0.05,no
Jhalokati-1,2001,Independent,Sikder Md. Kajal,60,0.06,no
Munshiganj-1,2001,Independent,Md. Moniruzzaman,60,0.04,no
Dhaka-4,2001,Samridhya Bangladesh Andolan,Md. Mizanur Rahman,60,0.02,no
Dhaka-7,2001,Bangladesh People's Congress,Md. Nurul Islam,60,0.03,no
Cox's Bazar-1,2001,JSD (Rab),M. Ali Amir Khan Parvez,60,0.03,no
Comilla-4,2001,Independent,Md. Sultan Ahammad,60,0.04,no
Dhaka-8,2008,BJP,Kazi Mominul Haq,60,0.04,no
Dhaka-2,1991,Independent,Abu Md. Subid Ali,61,0.07,no
Noakhali-1,1991,NAP (Bhashani),Abdul Motaleb,61,0.09,no
Chittagong-9,1991,Zaker Party,M. A. Haider Chowdhury,61,0.06,no
Dhaka-7,1996,Bangladesh Jatiya League (Sobhan),Abdus Sobhan,61,0.03,no
Chittagong-13,1996,NAP (Muzaffar),Syed Mostafa Kamal,61,0.06,no
Jhalokati-2,2001,Independent,Gazi Aziz Ferdous,61,0.04,no
Shariatpur-1,2001,JSD (Rab),Atahar Hawlader,61,0.03,no
Noakhali-6,2001,Independent,Mokammel Haq Malajut,61,0.06,no
Dhaka-8,2008,Gano Front,Nur Alam Bikhato,61,0.04,no
